word0,tone0,word1,tone1,word2,tone2,word3,tone3,word4,tone4,word5,tone5,word6,tone6,path,length,tone,gl,answer,seq,neu,status,flipped
铁,5,体,42,替,35,踢,5,读,2,听,44,退,35,dissertation_sound/exp1/practice/19A/vowel_long_after_window_r1.wav,long,r1,modal,替,1,NA,practice,NA
铁,5,体,42,替,35,踢,5,读,2,听,44,退,35,dissertation_sound/exp1/practice/19A/vowel_long_after_window_r2.wav,long,r2,modal,替,2,NA,practice,NA
铁,5,体,42,替,35,踢,5,读,2,听,44,退,35,dissertation_sound/exp1/practice/19A/vowel_long_after_window_r3.wav,long,r3,modal,替,3,NA,practice,NA
铁,5,体,42,替,35,踢,5,读,2,听,44,退,35,dissertation_sound/exp1/practice/19A/vowel_long_after_window_r4.wav,long,r4,modal,替,4,NA,practice,NA
铁,5,体,42,替,35,踢,5,读,2,听,44,退,35,dissertation_sound/exp1/practice/19A/vowel_long_after_window_r5.wav,long,r5,modal,替,5,NA,practice,NA
修,44,右,23,救,35,肉,2,挑,44,手,42,树,35,dissertation_sound/exp1/practice/153A/vowel_long_after_window_r1.wav,long,r1,modal,救,6,NA,practice,NA
修,44,右,23,救,35,肉,2,挑,44,手,42,树,35,dissertation_sound/exp1/practice/153A/vowel_long_after_window_r2.wav,long,r2,modal,救,7,NA,practice,NA
修,44,右,23,救,35,肉,2,挑,44,手,42,树,35,dissertation_sound/exp1/practice/153A/vowel_long_after_window_r3.wav,long,r3,modal,救,8,NA,practice,NA
修,44,右,23,救,35,肉,2,挑,44,手,42,树,35,dissertation_sound/exp1/practice/153A/vowel_long_after_window_r4.wav,long,r4,modal,救,9,NA,practice,NA
修,44,右,23,救,35,肉,2,挑,44,手,42,树,35,dissertation_sound/exp1/practice/153A/vowel_long_after_window_r5.wav,long,r5,modal,救,10,NA,practice,NA
